epoch,acc,loss,val_acc,val_loss
0,0.6805333366195361,1.1366603870540857,0.7328000118136406,1.0649783573322928
1,0.7232000013987223,0.9107434271325667,0.7232000118792057,1.1361696716592413
2,0.7609333322842916,0.7744428619518876,0.7516000120639801,0.974489097163314
3,0.776799997985363,0.7197331628749768,0.7536000119745732,0.9924030759161105
4,0.8026666629711787,0.6314060637652874,0.7776000107824802,0.9461512209542415
5,0.8150666627486547,0.5730923601277172,0.7728000110983848,0.939394124009501
6,0.8270666622320811,0.5280172787240396,0.7816000104546547,0.850449524545722
7,0.836799995859464,0.5041199479689822,0.7892000102996826,0.8835180042472057
8,0.8546666600108147,0.4450582710703214,0.7804000105559826,0.8606032057008939
9,0.8615999941825867,0.42307645119726656,0.7880000101327896,0.869073898858027
